location_name,osm_id,osm_id_source,maxheight,maxheight_physical,hgv,tags,history_url,history_status,history_maxheight_occurrences
Silk Board Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Hebbal Flyover Underpass,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Bellandur Kodi Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Varthur Kodi Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
KR Puram Lake Road,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Yeshwanthpur Railway station,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Old Airport Road Railway Crossing,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Railway underbridge near Kino theatre,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Shivananda circle_Railway under pass,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Cauvery Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Old Mysuru Road Underpass,1312014813,register,,,,"{""alt_name"": ""Old Mysuru Road"", ""highway"": ""primary"", ""layer"": ""-1"", ""lit"": ""yes"", ""name"": ""Old Mysuru Road Underpass"", ""name:kn"": ""\u0cb9\u0cb3\u0cc6 \u0cae\u0cc8\u0cb8\u0cc2\u0cb0\u0cc1 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6,"", ""official_name"": ""Rajiv Gandhi Signal Free Corridor"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1312014813/history,skipped_no_tag,
Munekolala Underpass,1120481230,register,,,,"{""check_date"": ""2022-12-09"", ""covered"": ""yes"", ""highway"": ""tertiary"", ""lanes"": ""2"", ""name"": ""Munekolala Underpass"", ""oneway"": ""yes"", ""opening_date"": ""2023-01-10"", ""surface"": ""asphalt""}",https://www.openstreetmap.org/api/0.6/way/1120481230/history,skipped_no_tag,
KR Circle Underpass,52032737,register,,,,"{""alt_name"": ""KR Circle Magic Box"", ""highway"": ""primary_link"", ""layer"": ""-1"", ""name"": ""KR Circle Underpass"", ""old_name"": ""K R Subway"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/52032737/history,skipped_no_tag,
Mekhri Circle Underpass,71523618,register,,,,"{""alt_name"": ""Bellary Road"", ""bicycle"": ""yes"", ""covered"": ""yes"", ""cutting"": ""yes"", ""dual_carriageway"": ""yes"", ""highway"": ""trunk"", ""lanes"": ""3"", ""layer"": ""-1"", ""name"": ""Mekhri Circle Underpass"", ""name:etymology:wikidata"": ""Q288441"", ""name:kn"": ""\u0cb0\u0cae\u0ca3 \u0cae\u0cb9\u0cb0\u0ccd\u0cb7\u0cbf \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""official_name"": ""Ramana Maharshi Road"", ""oneway"": ""yes"", ""surface"": ""asphalt"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/71523618/history,skipped_no_tag,
Vatal Nagaraj Road Underpass,1162838932,register,,,,"{""alt_name"": ""Vatal Nagaraj Road"", ""highway"": ""secondary"", ""layer"": ""-1"", ""lit"": ""yes"", ""name"": ""Vatal Nagaraj Road Underpass"", ""name:kn"": ""\u0cb5\u0cbe\u0c9f\u0cbe\u0cb3\u0ccd \u0ca8\u0cbe\u0c97\u0cb0\u0cbe\u0c9c\u0ccd \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0c95\u0cc6\u0cb3\u0cb8\u0cc7\u0ca4\u0cc1\u0cb5\u0cc6"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1162838932/history,skipped_no_tag,
Magadi Underpass road,172895631,register,,,,"{""alt_name"": ""Chord Road"", ""highway"": ""primary"", ""layer"": ""-1"", ""name"": ""Magadi Underpass road"", ""name:kn"": ""\u0cae\u0cbe\u0c97\u0ca1\u0cbf \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0c9f\u0ccb\u0cb2\u0ccd\u200c\u0c97\u0cc7\u0c9f\u0ccd \u0c85\u0c82\u0ca1\u0cb0\u0ccd\u200c\u0caa\u0cbe\u0cb8\u0ccd"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/172895631/history,skipped_no_tag,
Millers Road Underpass,158623466,register,5,,,"{""alt_name"": ""Millers Road"", ""highway"": ""tertiary"", ""layer"": ""-1"", ""maxheight"": ""5"", ""name"": ""Millers Road Underpass"", ""name:kn"": ""\u0cae\u0cbf\u0cb2\u0ccd\u0cb2\u0cb0\u0ccd\u0cb8\u0ccd \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0c85\u0c82\u0ca1\u0cb0\u0ccd\u200c\u0caa\u0cbe\u0cb8\u0ccd"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/158623466/history,ok_200,4
Hebbal Twin Tunnel,1545405827,register,,,,"{""construction"": ""trunk"", ""highway"": ""construction"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Hebbal Twin Tunnel"", ""oneway"": ""yes"", ""operator"": ""BDA"", ""source"": ""https://kppp.karnataka.gov.in/supplier-registration-service/v1/api/portal-service/261116/works-tender-file/56ce13a5-234e-46b5-b2c7-b2bdbfc409db/download-file"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1545405827/history,skipped_no_tag,
Marathahalli Underpass,380787521,register,,,,"{""alt_name"": ""Outer Ring Road"", ""alt_name:kn"": ""\u0cb9\u0cca\u0cb0 \u0cb5\u0cb0\u0ccd\u0ca4\u0cc1\u0cb2 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""alt_name_1"": ""Srinagar - Kanyakumari Highway"", ""alt_name_2"": ""Delhi - Chennai Highway"", ""covered"": ""yes"", ""highway"": ""trunk"", ""int_ref"": ""AH43"", ""lanes"": ""3"", ""layer"": ""-1"", ""maxspeed"": ""60"", ""name"": ""Marathahalli Underpass"", ""official_name"": ""KC Reddy Ring Road"", ""official_name:etymology:wikidata"": ""Q6323235"", ""official_name:kn"": ""\u0c95\u0ccd\u0c9a\u0ccd \u0",https://www.openstreetmap.org/api/0.6/way/380787521/history,skipped_no_tag,
Wind Tunnel Road Underpass,1499936123,register,,,,"{""construction"": ""primary"", ""highway"": ""construction"", ""layer"": ""-1"", ""name"": ""Wind Tunnel Road Underpass"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1499936123/history,skipped_no_tag,
LuLu Global Mall Underpass,1092668711,register,3,,,"{""access"": ""permissive"", ""highway"": ""service"", ""layer"": ""-1"", ""maxheight"": ""3"", ""name"": ""LuLu Global Mall Underpass"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1092668711/history,ok_200,2
Maharani College Underpass,208827395,register,4,,no,"{""alt_name"": ""Palace Road"", ""dual_carriageway"": ""yes"", ""hgv"": ""no"", ""highway"": ""secondary"", ""lanes"": ""2"", ""layer"": ""-5"", ""maxheight"": ""4"", ""maxheight:type"": ""sign"", ""name"": ""Maharani College Underpass"", ""name:kn"": ""\u0c85\u0cb0\u0cae\u0ca8\u0cc6 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""sidewalk"": ""separate"", ""smoothness"": ""good"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/208827395/history,ok_200,5
Sangam Subway,150216118,register,,,,"{""highway"": ""footway"", ""layer"": ""-1"", ""name"": ""Sangam Subway"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/150216118/history,skipped_no_tag,
Thanisandra Main Road Railway Underpass,507886807,register,,,,"{""alt_name"": ""Thanisandra Main Road"", ""highway"": ""primary"", ""layer"": ""-1"", ""name"": ""Thanisandra Main Road Railway Underpass"", ""name:kn"": ""\u0ca5\u0ca3\u0cbf\u0cb8\u0c82\u0ca6\u0ccd\u0cb0 \u0cae\u0cc1\u0c96\u0ccd\u0caf \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0cb0\u0cc8\u0cb2\u0ccd\u0cb5\u0cc6 \u0c95\u0cc6\u0cb3\u0cb8\u0cc7\u0ca4\u0cc1\u0cb5\u0cc6"", ""note"": ""Karnataka PWD recognises this as the highway as documented in the description of the road"", ""oneway"": ""yes"", ""ref"": ""SH104"", ""source"": ""http://www.k",https://www.openstreetmap.org/api/0.6/way/507886807/history,skipped_no_tag,
Nayandahalli Underpass,90842820,register,,,,"{""alt_name"": ""Outer Ring Road"", ""highway"": ""trunk"", ""lanes"": ""3"", ""layer"": ""-1"", ""name"": ""Nayandahalli Underpass"", ""name:etymology:wikidata"": ""Q127105221"", ""name:kn"": ""\u0cb9\u0cca\u0cb0 \u0cb5\u0cb0\u0ccd\u0ca4\u0cc1\u0cb2 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""short_name"": ""ORR"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/90842820/history,skipped_no_tag,
Malleshwaram Underpass,388813864,register,,,,"{""alt_name"": ""5th Cross Road"", ""covered"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Malleshwaram Underpass"", ""name:kn"": ""\u0ceb\u0ca8\u0cc7 \u0c85\u0ca1\u0ccd\u0ca1 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""name:ur"": ""5 \u0648\u06cc\u06ba \u06a9\u0631\u0627\u0633 \u0631\u0648\u0688"", ""oneway"": ""yes"", ""surface"": ""asphalt"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/388813864/history,skipped_no_tag,
Laggere Underpass,1165557923,register,,,,"{""highway"": ""tertiary"", ""layer"": ""-1"", ""name"": ""Laggere Underpass"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1165557923/history,skipped_no_tag,
Kundalahalli Underpass,122424479,register,,,,"{""alt_name"": ""Varthur Road"", ""dual_carriageway"": ""yes"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Kundalahalli Underpass"", ""name:etymology:wikidata"": ""Q65067397"", ""name:kn"": ""\u0cb5\u0cb0\u0ccd\u0ca4\u0cc2\u0cb0\u0cc1 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""sidewalk"": ""separate"", ""smoothness"": ""excellent"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/122424479/history,skipped_no_tag,
Lazar Road Underpass,30842912,register,,,,"{""alt_name"": ""Lazar Road"", ""highway"": ""primary"", ""layer"": ""-1"", ""name"": ""Lazar Road Underpass"", ""name:kn"": ""\u0cb2\u0cbe\u0c9c\u0cb0\u0ccd \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0c85\u0c82\u0ca1\u0cb0\u0ccd\u200c\u0caa\u0cbe\u0cb8\u0ccd"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/30842912/history,skipped_no_tag,
