location_name,figure,type,exact_quote,url,pub_date,event_year,confidence,carve_grade,not_carve_reason,osm_id,lat,lon,nearest_gt_id,nearest_gt_dist_m,gt_sept2022_band_m,z_deck_m,invert_mapping
Silk Board Junction,knee-deep (~0.45),depth,"knee-deep water, 2025-05-19 (104 mm in 24 h, 2nd highest in a decade)",https://economictimes.indiatimes.com/news/bengaluru-news/bengalurus-rain-crisis-city-records-heaviest-deluge-since-2017-leaves-five-dead-hundreds-of-homes-submerged-in-indias-it-capital/articleshow/121303422.cms,2025-05-21,2025-05-19,medium,no,flood-depth-only,1284667152,12.91604,77.62391,GT_05,0.0,0.35-0.5 m,925.043,
Hebbal Flyover Underpass,jam,depth,"long jams 2025-10-12, annual maintenance contract holder",https://www.hindu.com/news/cities/bangalore/bengaluru-rains-2025-10-12,2025-10-12,2025-10-12,medium,no,flood-depth-only,1111845888,13.04086,77.5898,GT_15,0.0,0.35-0.5 m,896.221,
Bellandur Kodi Junction,,nothing-found,,,,,high,no,nothing-found (zero news hits + registerless: no register segment geometry of its own),1409994954,12.935,77.678,GT_17,0.0,0.85-1.1 m,871.561,
Varthur Kodi Junction,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",783832923,12.942,77.747,GT_18,0.0,0.5-0.75 m,872.567,
KR Puram Lake Road,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",1208266297,13.003,77.698,GT_21,0.0,0.5-0.7 m,884.384,
Yeshwanthpur Railway station,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",408938055,13.0237767512959,77.5503772276235,GT_15,4677.9,0.35-0.5 m,912.827,
Old Airport Road Railway Crossing,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",1102855391,12.955,77.674,GT_16,0.0,0.5-0.7 m,897.013,
Railway underbridge near Kino theatre,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",1117522763,12.9845070969248,77.5748676833932,GT_15,6445.0,0.35-0.5 m,908.856,
Shivananda circle_Railway under pass,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",1039668754,12.9877884559723,77.5778290177912,GT_15,6016.7,0.35-0.5 m,911.376,
Cauvery Junction,,nothing-found,,,,,high,no,"nothing-found (registerless GT/BBMP anchor: no register osm_id, OSM tag not applicable)",163101103,13.0034188,77.5840052,GT_15,4192.0,0.35-0.5 m,930.959,
Old Mysuru Road Underpass,,nothing-found,,,,,high,no,nothing-found,1312014813,12.982786,77.569116,GT_15,6809.2,0.35-0.5 m,895.122,
Munekolala Underpass,,nothing-found,,,,,high,no,nothing-found,1120481230,12.956725,77.704338,GT_07,32.9,0.5-0.7 m,886.146,
KR Circle Underpass,>3.7,depth,>12 ft (~3.7 m) of rainwater in underpass after 2026-04-29 downpour; pumping ongoing,https://timesofindia.indiatimes.com/city/bengaluru/three-years-after-fatal-drowning-kr-circle-underpass-floods-again-in-bengaluru/articleshow/130649313.cms,2026-05-01,2026-04-29,medium,no,flood-depth-only,52032737,12.975693,77.58758,GT_11,6571.9,0.5-0.7 m,913.161,
Mekhri Circle Underpass,,status,first vehicle underpass in Bengaluru (2001-02); waterlogging near CQAL Cross 2025-09-07,https://thehindu.com/news/cities/bangalore/explained-why-underpasses-in-bengaluru-see-flooding-in-monsoon/article66919145.ece,2023-06-06,2001-02_built,medium,no,status-only,71523618,13.014526,77.583904,GT_15,2984.4,0.35-0.5 m,939.534,
Vatal Nagaraj Road Underpass,,nothing-found,,,,,high,no,nothing-found,1162838932,12.982076,77.564707,GT_15,7054.0,0.35-0.5 m,891.192,
Magadi Underpass road,,nothing-found,,,,,high,no,nothing-found,172895631,12.974706,77.548097,GT_15,8608.8,0.35-0.5 m,872.608,
Millers Road Underpass,5.0,clearance,maxheight=5,https://www.openstreetmap.org/way/158623466,2025-12-20,existing,medium,yes,carve-grade (signed_limit_bias),158623466,12.994584,77.596208,GT_15,5169.5,0.35-0.5 m,917.484,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Hebbal Twin Tunnel,,nothing-found,,,,,high,no,nothing-found,1545405827,13.038749,77.58721,GT_15,365.5,0.35-0.5 m,919.708,
Marathahalli Underpass,,nothing-found,,,,,high,no,nothing-found,380787521,12.956943,77.701202,GT_07,374.3,0.5-0.7 m,890.375,
Wind Tunnel Road Underpass,,nothing-found,,,,,high,no,nothing-found,1499936123,12.959379,77.654249,GT_16,2198.5,0.5-0.7 m,896.743,
LuLu Global Mall Underpass,3.0,clearance,maxheight=3,https://www.openstreetmap.org/way/1092668711,2023-10-27,existing,medium,yes,carve-grade (signed_limit_bias),1092668711,12.982553,77.562281,GT_15,7111.8,0.35-0.5 m,878.305,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Maharani College Underpass,4.0,clearance,maxheight=4,https://www.openstreetmap.org/way/208827395,2025-08-18,existing,medium,yes,carve-grade (signed_limit_bias),208827395,12.97793,77.584428,GT_11,6987.7,0.5-0.7 m,922.14,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Sangam Subway,,nothing-found,,,,,high,no,nothing-found,150216118,12.977125,77.574431,GT_15,7249.6,0.35-0.5 m,902.56,
Thanisandra Main Road Railway Underpass,,nothing-found,,,,,high,no,nothing-found,507886807,13.059526,77.6329,GT_10,1785.2,0.35-0.5 m,894.235,
Nayandahalli Underpass,flood-like,depth,"Vrishabhavathi overflow → flood-like situation, 2026-05-29",https://deccanherald.com/india/karnataka/bengaluru/vrishabhavathi-overflows-silk-board-flooded-bengaluru-grinds-to-a-haltdue-to-heavy-rain-4021174,2026-05-29,2026-05-29,medium,no,flood-depth-only,90842820,12.946452,77.525861,GT_13,9961.7,0.35-0.5 m,823.19,
Malleshwaram Underpass,,nothing-found,,,,,high,no,nothing-found,388813864,12.996833,77.571405,GT_15,5266.6,0.35-0.5 m,907.628,
Laggere Underpass,,nothing-found,,,,,high,no,nothing-found,1165557923,12.997838,77.52293,GT_15,8680.7,0.35-0.5 m,867.589,
Kundalahalli Underpass,,nothing-found,,,,,high,no,nothing-found,122424479,12.955853,77.714805,GT_19,570.1,0.85-1.1 m,885.04,
Lazar Road Underpass,,nothing-found,,,,,high,no,nothing-found,30842912,12.999961,77.620107,GT_20,4739.0,0.35-0.5 m,904.356,
Rajajinagar Entrance Underpass,,nothing-found,,,,,high,no,nothing-found,95935341,12.983242,77.560303,GT_15,7136.4,0.35-0.5 m,886.303,
Mill Corner Road Underpass,4.0,clearance,maxheight=4,https://www.openstreetmap.org/way/1081215226,2024-10-16,existing,medium,yes,carve-grade (signed_limit_bias),1081215226,12.993271,77.568697,GT_15,5744.2,0.35-0.5 m,900.809,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
RMZ Eco World Underpass,,nothing-found,,,,,high,no,nothing-found (zero news hits + no OSM tag + no BBMP audit dimension),1184116307,12.920193,77.685528,GT_01,665.3,0.85-1.1 m,878.213,
Dr. Rajkumar Underpass,,nothing-found,,,,,high,no,nothing-found,1105681422,13.008242,77.622733,GT_20,3808.9,0.35-0.5 m,909.849,
Shivajinagar Bus Station Subway,,nothing-found,,,,,high,no,nothing-found,1066902625,12.983372,77.60339,GT_11,6272.5,0.5-0.7 m,912.395,
Horamavu Underpass,,status,"railway underpass under construction — delayed 2021 and 2025 (two months more, Jun 2025)",https://deccanchronicle.com/nation/current-affairs/250617/horamavu-underpass-2-more-months-to-go.html,2025-06-25,2025-06_planned,medium,no,status-only,675387095,13.025271,77.659846,GT_12,712.3,0.85-1.1 m,903.383,
Annapoorneshwari Main Road Junction Underpass,,nothing-found,,,,,high,no,nothing-found,1464069266,12.97959,77.510872,GT_15,10926.4,0.35-0.5 m,887.822,
NIMHANS Underpass,3.048,clearance,maxheight=10' (=3.048m),https://www.openstreetmap.org/way/239738418,2024-08-27,existing,medium,yes,carve-grade (signed_limit_bias),239738418,12.941207,77.597509,GT_22,3194.7,0.35-0.5 m,914.334,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Star Circle Underpass,,nothing-found,,,,,high,no,nothing-found,95664214,12.997604,77.550236,GT_15,6431.6,0.35-0.5 m,914.656,
Madiwala Underpass,5.5,clearance,"Earlier, when the underpasses were constructed the vertical clearance used to be 4.5 metres. The current vertical clearance remains at 5.5 metres. When vehicles more than 4.5 m or exactly 4.5 m enter the underpass, they find themselves stuck. — BBMP CE B.S. Prahalad",https://bangaloremirror.indiatimes.com/bangalore/civic/whats-eating-madiwala-underpass-big-vehicles/articleshow/93079717.cms,2022-07-24,2010_existing,high,yes,carve-grade,148210028,12.923949,77.618548,GT_22,762.9,0.35-0.5 m,891.415,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Sankey Road Underpass,,nothing-found,,,,,high,no,nothing-found,1039668762,12.99123,77.585572,GT_15,5512.9,0.35-0.5 m,932.11,
Ullal Junction Underpass,waterlogged,depth,waterlogged 2025-09-07,https://newindianexpress.com/cities/bengaluru/2025/Sep/07/heavy-rain-floods-roads-disrupts-traffic-across-bengaluru,2025-09-07,2025-09-07,medium,no,flood-depth-only,1547666061,12.951991,77.500039,GT_13,12751.7,0.35-0.5 m,861.111,
Kuvempu Underpass,waterlogged,depth,waterlogged 2025-09-07 (towards Bhadrappa layout),https://newindianexpress.com/cities/bengaluru/2025/Sep/07/heavy-rain-floods-roads-disrupts-traffic-across-bengaluru,2025-09-07,2025-09-07,medium,no,flood-depth-only,379763901,13.043609,77.559091,GT_15,3346.6,0.35-0.5 m,912.007,
Nagarabhavi Underpass,,nothing-found,,,,,high,no,nothing-found,90842812,12.958215,77.518877,GT_13,11266.5,0.35-0.5 m,844.42,
Kasturinagar Road Under Bridge,,nothing-found,,,,,high,no,nothing-found,1459067497,12.997375,77.663604,GT_23,3771.0,0.5-0.7 m,896.016,
Dairy Circle Underpass,waterlogged,depth,"waterlogged via Sagar Junction, 2025-09-07 and 2026-06-20",https://newindianexpress.com/cities/bengaluru/2025/Sep/07/heavy-rain-floods-roads-disrupts-traffic-across-bengaluru,2025-09-07,2025-09-07,medium,no,flood-depth-only,191190625,12.937142,77.601673,GT_22,2565.9,0.35-0.5 m,906.534,
Suranjandas Road Underpass,4.5,clearance,maxheight=4.5,https://www.openstreetmap.org/way/1135874172,2026-02-10,existing,medium,yes,carve-grade (signed_limit_bias),1135874172,12.958329,77.666301,GT_16,913.5,0.5-0.7 m,899.66,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
Kaderanahali Underpass,,nothing-found,,,,,high,no,nothing-found (zero news hits + no OSM tag + no BBMP audit dimension),249195015,12.914095,77.565896,GT_13,4595.2,0.35-0.5 m,904.204,
Jayadeva Hospital Underpass,,nothing-found,,,,,high,no,nothing-found,40692577,12.916696,77.600018,GT_13,1541.2,0.35-0.5 m,908.016,
Sankey Underpass,4.25,clearance,maxheight=4.25,https://www.openstreetmap.org/way/163101103,2024-10-16,existing,medium,yes,carve-grade (signed_limit_bias),163101103,13.003836,77.583247,GT_15,4159.6,0.35-0.5 m,930.959,invert_z = z_deck - clearance - deck_structural_depth (if clearance else n/a)
CNR Rao Underpass,,nothing-found,,,,,high,no,nothing-found,142241251,13.01477,77.564624,GT_15,3975.8,0.35-0.5 m,944.226,
