id,n_cells,area_m2,max_depth_m,p95_depth_m,mean_depth_m,volume_m3,fill_ratio,floor_sigma_z_m,rim_sigma_z_m,centroid_lat,centroid_lon
66347,15862,1586200.0,3.8189087,3.5739868,1.3164945,2.0882235e+06,0.34473053,0.14156233,0.14054903,12.956158269750928,77.7583242723922
8971,37853,3785300.0,0.94018555,0.8723999,0.5441106,2.0596219e+06,0.5787268,0.12115626,0.13767996,13.080480809103486,77.76736672331111
88889,9619,961900.0,2.5505981,2.5056763,1.9189183,1.8458074e+06,0.7523405,0.08839981,0.14396165,12.907052195011754,77.61651697257247
78186,18204,1820400.0,1.7820435,0.6655884,0.6427613,1.1700826e+06,0.36068776,0.1706543,0.15234977,12.934335700268571,77.66555611691075
11155,1358,135800.0,15.248657,13.58978,7.7693024,1.0550712e+06,0.5095073,0.13002706,0.14092991,13.087376763686535,77.69682250182096
5896,1173,117300.0,15.111816,13.338916,8.336845,977912.0,0.5516772,0.15982868,0.13996373,13.110146598608168,77.68250948444788
43660,11956,1195600.0,2.3704224,1.1828003,0.5359797,640817.3,0.22611147,0.15330735,0.14665982,12.995353678063772,77.7738212372654
6161,833,83300.0,18.232056,14.751501,7.1005883,591479.0,0.38945627,0.111448094,0.14961858,13.109422078923648,77.66080947176174
7329,1461,146100.0,12.576965,7.8114624,3.9603205,578602.8,0.3148868,0.13111974,0.15429339,13.103156601640878,77.65010834329928
107730,782,78200.0,16.891113,14.156552,6.8174953,533128.1,0.40361434,0.1536378,0.15363121,12.85182444417343,77.62713073142983
10077,781,78100.0,14.821228,14.47699,6.8033066,531338.25,0.45902452,0.13422163,0.12939884,13.092640880282103,77.68311467533117
3,3913,391300.0,2.5928955,2.5928955,1.2415348,485812.6,0.47882178,0.15723683,0.14205004,13.145586342494708,77.48785376869326
89928,4066,406600.0,5.1398315,2.5934296,1.0500113,426934.56,0.20428903,0.0,0.13937071,12.905327460733035,77.48029726243522
13769,473,47300.0,21.586426,19.228077,7.8199296,369882.66,0.3622614,0.16099946,0.089503065,13.077356572038237,77.69225346100121
109297,613,61300.0,12.268433,11.368444,5.943653,364345.94,0.48446718,0.16147536,0.13521379,12.845491296886241,77.56176467921566
77545,2042,204200.0,4.4333496,3.9174285,1.6901104,345120.56,0.38122654,0.12994434,0.14559129,12.938814338853103,77.77702201747529
24750,3783,378300.0,2.4606323,0.9606323,0.91192484,344981.2,0.37060592,0.0141574405,0.1265085,13.046808960315435,77.58674490513108
55056,3508,350800.0,2.394104,0.894104,0.9127094,320178.47,0.38123214,0.060084194,0.15341099,12.982642466326691,77.61973615445403
91135,1478,147800.0,4.812683,3.5786805,2.1427374,316696.6,0.4452272,0.15593693,0.15081881,12.907835594476039,77.45742728897122
75406,1344,134400.0,3.95813,2.45813,2.0976658,281926.28,0.5299639,0.041712835,0.15733124,12.946254155449763,77.58342178496679
85584,2315,231500.0,3.8138428,2.3138428,1.0517274,243474.9,0.2757658,0.07351275,0.1438066,12.921294750966686,77.64145837111651
6766,534,53400.0,6.967041,6.506479,4.214761,225068.23,0.6049571,0.14346907,0.1675705,13.10662440655526,77.64609598849262
94823,327,32700.0,16.1344,15.172455,6.8032174,222465.2,0.42165914,0.17970987,0.088476956,12.898030953302849,77.67106798708495
100852,2523,252300.0,2.5909424,1.6948059,0.87520826,220815.03,0.33779532,0.1640418,0.14624766,12.875182194414858,77.7730738000371
6019,303,30300.0,14.245728,13.598078,6.4405723,195149.34,0.45210555,0.15079604,0.15864956,13.111101831423126,77.6527653834284
602,2246,224600.0,3.3573608,1.7142792,0.7866265,176676.31,0.23429906,0.10360574,0.14614867,13.140623236432397,77.66198156014482
9187,797,79700.0,10.826782,8.99762,2.1904337,174577.56,0.20231621,0.1787496,0.12376659,13.096324414387835,77.6671968601498
4297,383,38300.0,9.859436,9.196814,4.5222106,173200.66,0.45866826,0.12691838,0.15482457,13.120438275685853,77.65951760741751
77500,2238,223800.0,2.420044,1.8990418,0.6992772,156498.25,0.28895232,0.12649985,0.1346615,12.939832190541145,77.6817112029978
6160,291,29100.0,12.12915,11.588593,5.3222923,154878.72,0.43880177,0.14800647,0.13603179,13.109802311522673,77.64938895049524
109754,409,40900.0,7.3119507,6.763623,3.6833441,150648.78,0.50374305,0.13248037,0.15212467,12.843557421184657,77.62928664338394
111552,357,35700.0,6.555969,6.4269166,3.8987288,139184.62,0.5946838,0.1351945,0.15988977,12.834540647951417,77.62317461554244
4610,963,96300.0,2.6993408,2.4675415,1.3715163,132077.03,0.5080931,0.14047691,0.14761305,13.118096019859008,77.65082427727046
4978,2921,292100.0,1.9307251,0.8352661,0.44753525,130725.05,0.23179646,0.09122389,0.09988088,13.111777307326113,77.59451887874754
5633,159,15900.0,18.587158,17.615406,7.9222975,125964.52,0.42622423,0.21185303,0.17926697,13.113749727668196,77.65181869964952
73036,4612,461200.0,1.8505859,0.5060608,0.27206922,125478.32,0.14701787,0.1412115,0.12537798,12.946169813826081,77.6946505110111
7204,393,39300.0,7.0238037,5.9298706,3.1119525,122299.734,0.44305798,0.14369664,0.14165464,13.104747343583036,77.64721627596963
112141,222,22200.0,12.878845,11.421951,5.4893765,121864.16,0.426232,0.17487867,0.15055043,12.832086577880402,77.60324636077392
86431,1477,147700.0,2.8798828,1.368689,0.78250515,115576.016,0.27171424,0.14755256,0.1497612,12.919087206384836,77.72147456579036
7531,283,28300.0,9.315979,8.546265,3.9014978,110412.39,0.41879633,0.14222062,0.1528198,13.103440996110352,77.6687584762601
73465,1365,136500.0,2.8156738,1.5777954,0.80232525,109517.4,0.28494966,0.0014475264,0.13016877,12.949792583858102,77.45960032646774
46567,463,46300.0,4.5356445,4.5356445,2.2341514,103441.21,0.4925764,0.05445937,0.15060054,13.002307200193943,77.58620906369286
18280,2730,273000.0,1.845459,0.34545898,0.37522984,102437.74,0.20332602,0.05005959,0.07293925,13.062624549778757,77.61394536719033
5328,252,25200.0,8.343567,6.8608427,3.7165523,93657.12,0.44543925,0.17147827,0.13949813,13.11532240448207,77.65159304137997
71544,9928,992800.0,1.5422974,0.08270264,0.08716927,86541.65,0.056519102,0.1724377,0.019856798,12.947776809789296,77.73812101651453
58673,525,52500.0,2.718933,2.6592407,1.4209144,74598.01,0.5226,0.08471899,0.14860861,12.978970076564705,77.65650290056287
39292,1016,101600.0,1.9814453,1.9814453,0.71479344,72623.016,0.36074346,0.13456096,0.10481546,13.014109562471651,77.78674940868724
107027,128,12800.0,9.662476,9.397385,5.5860505,71501.445,0.5781179,0.12877238,0.11418931,12.856412762110676,77.63076660014511
88775,821,82100.0,2.3775024,2.3775024,0.87065476,71480.76,0.36620563,0.098379806,0.12974237,12.913516564182594,77.67340039356414
16712,1487,148700.0,2.5593262,1.6395996,0.446663,66418.79,0.17452367,0.12199874,0.12014576,13.065345464210639,77.72372427563576
6440,158,15800.0,8.211609,7.850122,4.1842265,66110.78,0.50955015,0.15412708,0.14624871,13.108997276651893,77.65503343875088
6730,127,12700.0,11.738831,11.027594,5.1710176,65671.92,0.44050536,0.13541853,0.15006678,13.107415989389086,77.64893477066713
6561,266,26600.0,5.219116,4.578583,2.44899,65143.14,0.46923468,0.15795752,0.16675177,13.107679808084676,77.65362042250754
64389,2333,233300.0,0.45758057,0.43464357,0.2682526,62583.336,0.5862413,0.13019727,0.13019727,12.96554969703051,77.78665782851745
56518,386,38600.0,3.4682007,3.4682007,1.5958838,61601.117,0.4601475,0.10319624,0.13844477,12.983084644770532,77.63596302406187
81698,538,53800.0,2.0285034,1.9312042,1.1447264,61586.28,0.5643207,0.1289419,0.1446666,12.930290082907602,77.77204425705668
10777,676,67600.0,1.5405273,1.4801941,0.90002245,60841.516,0.58423007,0.14315549,0.14141047,13.08956662416748,77.7166303610201
12579,640,64000.0,2.78302,1.7779725,0.92931163,59475.945,0.333922,0.1637288,0.1372125,13.082445960273704,77.5074079386151
111666,199,19900.0,8.761536,7.1217527,2.7986827,55693.785,0.31942832,0.17590332,0.15533055,12.835459614379806,77.55994186081968
6265,114,11400.0,9.876404,9.445511,4.732147,53946.477,0.47913668,0.17783287,0.09956306,13.110062309410441,77.65134952998
101209,909,90900.0,1.9771729,1.2108399,0.59056664,53682.508,0.29869246,0.15618172,0.1454961,12.87906982461271,77.4743123926187
64209,227,22700.0,2.9872437,2.9523742,2.360644,53586.62,0.7902416,0.12194461,0.16414508,12.96966175721909,77.59348881115801
12351,124,12400.0,9.411865,9.048129,4.0602202,50346.727,0.43139377,0.15905005,0.14490677,13.08379299277322,77.72406452681356
